PROGRAMS,
xcb-util-wm 0.4.1-3,
xcb-util-xrm 1.3-2,
xdg-dbus-proxy 0.1.2-2,
xdg-user-dirs 0.17-3,
xdg-utils 1.1.3+19+g9816ebb-1,
xf86-input-elographics 1.4.2-2,
xf86-input-evdev 2.10.6-2,
xf86-input-libinput 0.30.0-1,
xf86-input-vmmouse 13.1.0-5,
xf86-input-void 1.4.1-5,
xf86-video-amdgpu 19.1.0-2,
xf86-video-ati 1:19.1.0-2,
xf86-video-fbdev 0.5.0-2,
xf86-video-nouveau 1.0.17-1,
xf86-video-openchrome 0.6.0-4,
xf86-video-vesa 2.5.0-1,
xf86-video-vmware 13.3.0-2,
xfce4-notifyd 0.6.2-2,
xfce4-power-manager 4.16.0-2,
xfconf 4.16.0-1,
xfsprogs 5.10.0-2,
xidlehook 0.9.1-1,
xkeyboard-config 2.32-1,
xl2tpd 1.3.16-1,
xorg-bdftopcf 1.1-2,
xorg-fonts-encodings 1.0.5-2,
xorg-iceauth 1.0.8-2,
xorg-mkfontscale 1.2.1-2,
xorg-server 1.20.10-3,
xorg-server-common 1.20.10-3,
xorg-sessreg 1.1.2-2,
xorg-setxkbmap 1.3.2-2,
xorg-smproxy 1.0.6-3,
xorg-x11perf 1.6.1-2,
xorg-xauth 1.1-2,
xorg-xbacklight 1.2.3-2,
xorg-xcmsdb 1.0.5-3,
xorg-xcursorgen 1.0.7-2,
xorg-xdpyinfo 1.3.2-4,
xorg-xdriinfo 1.0.6-2,
xorg-xev 1.2.4-1,
xorg-xgamma 1.0.6-3,
xorg-xhost 1.0.8-2,
xorg-xinit 1.4.1-3,
xorg-xinput 1.6.3-2,
xorg-xkbcomp 1.4.4-1,
xorg-xkbevd 1.1.4-3,
xorg-xkbutils 1.0.4-4,
xorg-xkill 1.0.5-2,
xorg-xlsatoms 1.1.3-2,
xorg-xlsclients 1.1.4-2,
xorg-xmodmap 1.0.10-2,
xorg-xpr 1.0.5-2,
xorg-xprop 1.2.5-1,
xorg-xrandr 1.5.1-2,
xorg-xrdb 1.2.0-2,
xorg-xrefresh 1.0.6-2,
xorg-xset 1.2.4-2,
xorg-xsetroot 1.1.2-2,
xorg-xvinfo 1.1.4-2,
xorg-xwayland 1.20.0.r853.gfdc61c5a3-1,
xorg-xwd 1.0.7-2,
xorg-xwininfo 1.1.5-2,
xorg-xwud 1.0.5-2,
xorgproto 2021.3-1,
xplc 0.3.13-8,
xsel 1.2.0.20190821-1,
xvidcore 1.3.7-2,
xxhash 0.8.0-1,
xz 5.2.5-1,
yajl 2.1.0-4,
yay-bin 10.1.2-2,
